symbol,timeframe,timestamp,close,coil_score,base_coil_score,coinlegs_alpha_score,coinlegs_bias,coinlegs_boost,coinlegs_details,coil_grade,range_contraction,atr_contraction,bb_squeeze,volume_dryup,higher_lows,high_pressure,ma_context,ma_squeeze_score,near_ma25_score,liquidity_overhead,reclaim_readiness,range_ratio,volume_ratio,distance_to_prior_high_pct,compression_high,compression_low
ZENUSDT,4h,2026-06-30T20:00:00+00:00,4.018,62.421,62.421,,missing,0.0,,watch,50.268,94.444,100.0,58.886,47.527,25.0,25.0,84.498,73.253,67.531,35.291,0.745977,0.51393,20.4828,4.226,3.91
MASKUSDT,4h,2026-06-30T20:00:00+00:00,0.376,61.879,61.879,,missing,0.0,,watch,48.889,94.444,100.0,64.24,45.136,25.0,25.0,81.792,58.853,80.943,16.888,0.766667,0.446997,13.0319,0.401,0.372
SANDUSDT,4h,2026-06-30T20:00:00+00:00,0.04653,60.528,60.528,,missing,0.0,,watch,48.009,85.0,100.0,28.959,50.368,60.0,25.0,94.858,80.245,35.0,56.211,0.779869,0.888007,38.4698,0.04816,0.045
SSVUSDT,4h,2026-06-30T20:00:00+00:00,1.976,60.109,60.109,,missing,0.0,,watch,54.063,97.222,94.444,42.285,49.586,25.0,25.0,88.73,73.887,35.0,32.945,0.689062,0.721433,24.2915,2.082,1.941
ZECUSDT,4h,2026-06-30T20:00:00+00:00,399.5,59.523,59.523,,missing,0.0,,ignore,54.241,92.778,86.667,55.578,41.561,25.0,25.0,92.507,93.333,35.0,7.854,0.686379,0.555272,33.7922,428.95,368.03
GMTUSDT,4h,2026-06-30T20:00:00+00:00,0.00732,59.076,59.076,,missing,0.0,,ignore,40.106,97.778,82.222,45.644,52.021,60.0,25.0,78.276,52.126,70.466,16.325,0.898413,0.679454,18.8525,0.00781,0.0071
FLOKIUSDT,4h,2026-06-30T20:00:00+00:00,2.153e-05,58.511,58.511,,missing,0.0,,ignore,50.621,87.778,85.0,51.942,49.772,25.0,25.0,97.639,72.137,35.0,34.974,0.740678,0.600728,29.3544,2.265e-05,2.118e-05
UMAUSDT,4h,2026-06-30T20:00:00+00:00,0.376,58.478,58.478,,missing,0.0,,ignore,45.0,85.0,91.111,42.771,50.148,60.0,25.0,79.97,58.0,35.0,40.16,0.825,0.715357,25.5319,0.394,0.367
RAREUSDT,4h,2026-06-30T20:00:00+00:00,0.012,58.342,58.342,,missing,0.0,,ignore,42.222,95.556,100.0,40.339,47.089,25.0,25.0,84.157,80.235,35.0,37.5,0.866667,0.745765,47.5,0.0126,0.0117
GALAUSDT,4h,2026-06-30T20:00:00+00:00,0.002234,56.868,56.868,,missing,0.0,,ignore,45.699,86.667,100.0,37.426,47.04,25.0,25.0,86.8,70.18,35.0,29.499,0.814516,0.782177,24.4405,0.00236,0.002199
QNTUSDT,4h,2026-06-30T20:00:00+00:00,64.86,56.832,56.832,,missing,0.0,,ignore,40.032,86.111,98.889,27.975,49.662,25.0,25.0,91.762,79.109,79.59,28.5,0.899513,0.900315,13.7835,68.57,63.2
RADUSDT,4h,2026-06-30T20:00:00+00:00,0.214,56.56,56.56,,missing,0.0,,ignore,35.556,45.556,100.0,1.552,52.77,56.954,72.0,97.681,94.589,86.736,47.43,0.966667,1.230599,9.8131,0.223,0.202
MINAUSDT,4h,2026-06-30T20:00:00+00:00,0.0378,56.402,56.402,,missing,0.0,,ignore,48.667,90.556,82.778,49.504,44.45,25.0,25.0,68.256,66.974,66.781,23.942,0.77,0.631203,20.8995,0.0401,0.0367
