symbol,trades,net_r,expectancy_r,win_rate
AGLDUSDT,5,0.37551052544766006,0.07510210508953201,0.4
ANKRUSDT,2,-0.2191744893675095,-0.10958724468375475,0.5
ARUSDT,3,-3.02109947945479,-1.0070331598182634,0.0
AXSUSDT,1,-1.0077969378928286,-1.0077969378928286,0.0
BANDUSDT,1,-1.0179533978495952,-1.0179533978495952,0.0
BATUSDT,2,-2.0160679021190093,-1.0080339510595047,0.0
CHZUSDT,1,-1.0102903744933571,-1.0102903744933571,0.0
CKBUSDT,2,-2.014667962851068,-1.007333981425534,0.0
COMPUSDT,2,2.315617104589831,1.1578085522949155,0.5
DYDXUSDT,2,1.9617712847214581,0.9808856423607291,1.0
ENSUSDT,1,-1.0064065695653004,-1.0064065695653004,0.0
FLOKIUSDT,3,1.3296089661934531,0.44320298873115105,0.3333333333333333
GALAUSDT,2,-0.21815293253390788,-0.10907646626695394,0.5
GMXUSDT,2,-2.021049924012819,-1.0105249620064094,0.0
HBARUSDT,1,3.339001120945604,3.339001120945604,1.0
ICXUSDT,1,-1.0057666014634072,-1.0057666014634072,0.0
ILVUSDT,1,-1.017173145254676,-1.017173145254676,0.0
IOTXUSDT,2,-2.0163027740602883,-1.0081513870301442,0.0
JOEUSDT,2,-0.21827249180172414,-0.10913624590086207,0.5
KAVAUSDT,2,-0.22374696340872524,-0.11187348170436262,0.5
KNCUSDT,2,-2.0264576925449047,-1.0132288462724524,0.0
KSMUSDT,2,2.296199727128058,1.148099863564029,0.5
LDOUSDT,4,-0.7135328650343418,-0.17838321625858544,0.25
LPTUSDT,1,-1.0094503963461443,-1.0094503963461443,0.0
LQTYUSDT,1,-1.0071522197827374,-1.0071522197827374,0.0
MAGICUSDT,2,-2.0106269614702352,-1.0053134807351176,0.0
MASKUSDT,3,-2.0203801601734526,-0.6734600533911509,0.0
MINAUSDT,1,-1.0032163560449407,-1.0032163560449407,0.0
OGNUSDT,1,-1.0082416618474876,-1.0082416618474876,0.0
ONTUSDT,1,-1.0114968199902434,-1.0114968199902434,0.0
PEOPLEUSDT,3,2.3225618061080953,0.7741872687026984,0.6666666666666666
POWRUSDT,2,4.085708488525578,2.042854244262789,1.0
PROMUSDT,1,-1.0066496297914194,-1.0066496297914194,0.0
PYRUSDT,1,-1.0091582311496583,-1.0091582311496583,0.0
QNTUSDT,3,-3.022457279667795,-1.007485759889265,0.0
RVNUSDT,1,-0.0051913275851290285,-0.0051913275851290285,0.0
SANDUSDT,1,-1.0048480945843512,-1.0048480945843512,0.0
SSVUSDT,1,-1.0045600447107976,-1.0045600447107976,0.0
STORJUSDT,4,0.29694257711173044,0.07423564427793261,0.25
SUNUSDT,2,2.310611235068106,1.155305617534053,0.5
SUSHIUSDT,1,-1.0133823645693343,-1.0133823645693343,0.0
THETAUSDT,1,3.3263468857845453,3.3263468857845453,1.0
TLMUSDT,1,-1.0111784220686066,-1.0111784220686066,0.0
UMAUSDT,2,-0.8137031077837646,-0.4068515538918823,0.5
VTHOUSDT,1,-1.0073710357052,-1.0073710357052,0.0
XTZUSDT,1,0.7820660243058647,0.7820660243058647,1.0
YFIUSDT,3,-3.0422920896291386,-1.0140973632097128,0.0
YGGUSDT,1,0.7929370531851294,0.7929370531851294,1.0
ZECUSDT,6,2.972763131055082,0.49546052184251366,0.5
ZILUSDT,1,-1.0155516233530388,-1.0155516233530388,0.0
ZRXUSDT,1,-1.0031340368519936,-1.0031340368519936,0.0
