symbol,timeframe,index,timestamp,direction,entry,stop,tp1,tp2,tp3,score,trend_score,impulse_score,pullback_score,compression_score,trigger_score,volume_score,rr_score,rr_to_tp1,reason,impulse_start,impulse_end,compression_start,compression_end,ict_score,divergence_score,mtf_score,coinlegs_score,coinlegs_alpha_score,coinlegs_bias,ict_details,divergence_kind,predictive_tag,mtf_details,coinlegs_details
UMAUSDT,4h,133,2024-01-23T04:00:00+00:00,long,6.745,4.792871428571429,10.649257142857142,13.577449999999999,16.505642857142856,100,20,18,11,15,15,10,4,1.9999999999999996,"long reclaim above 6.30000000; valid pullback; ICT(6): bull_fvg[129:131]=5.38900000-5.39300000;bull_ob=1.97600000-2.15500000;ote=4.51863000-4.99514000;sellside_sweep=3.93000000;ny_killzone=False; DIV(5): hidden_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",112,123,123,132,6,5,8,0,,missing,bull_fvg[129:131]=5.38900000-5.39300000;bull_ob=1.97600000-2.15500000;ote=4.51863000-4.99514000;sellside_sweep=3.93000000;ny_killzone=False,hidden_bullish,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
STORJUSDT,4h,170,2024-01-29T08:00:00+00:00,long,0.683,0.6039314285714287,0.8411371428571428,0.9597399999999998,1.0783428571428568,100,20,18,11,9,15,10,4,2.0,"long reclaim above 0.64460000; valid pullback; ICT(6): bull_fvg[150:152]=0.56550000-0.57160000;bull_ob=0.53380000-0.54500000;ote=0.59222300-0.60349400;sellside_sweep=0.52900000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",156,166,160,169,6,0,8,0,,missing,bull_fvg[150:152]=0.56550000-0.57160000;bull_ob=0.53380000-0.54500000;ote=0.59222300-0.60349400;sellside_sweep=0.52900000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
MAGICUSDT,4h,176,2024-01-30T08:00:00+00:00,long,1.2604,1.1026628571428572,1.5758742857142856,1.8124799999999999,2.049085714285714,100,20,18,11,12,15,10,4,2.0,"long reclaim above 1.17490000; valid pullback; ICT(6): bull_fvg[159:161]=1.09640000-1.11370000;bull_ob=1.01830000-1.04550000;ote=1.10177100-1.12133800;sellside_sweep=1.01210000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",160,171,166,175,6,0,8,0,,missing,bull_fvg[159:161]=1.09640000-1.11370000;bull_ob=1.01830000-1.04550000;ote=1.10177100-1.12133800;sellside_sweep=1.01210000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
FLOKIUSDT,4h,364,2024-03-01T16:00:00+00:00,long,8.391e-05,5.151664285714286e-05,0.0001486967142857143,0.00019728675,0.00024587678571428575,100,20,18,11,12,15,10,4,2.0,"long reclaim above 0.00006400; valid pullback; ICT(8): bull_fvg[361:363]=0.00005558-0.00005606;bull_ob=0.00004473-0.00004974;ote=0.00004783-0.00005106;sellside_sweep=0.00004242;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",346,357,354,363,8,0,8,0,,missing,bull_fvg[361:363]=0.00005558-0.00005606;bull_ob=0.00004473-0.00004974;ote=0.00004783-0.00005106;sellside_sweep=0.00004242;ny_killzone=True,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
QNTUSDT,4h,364,2024-03-01T16:00:00+00:00,long,127.0,108.53,163.94,191.64499999999998,219.35,100,20,20,11,12,15,10,4,2.0,"long reclaim above 119.30000000; valid pullback; ICT(8): bull_fvg[361:363]=114.80000000-115.90000000;bull_ob=102.00000000-115.00000000;ote=105.10800000-107.62400000;sellside_sweep=102.00000000;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",352,357,354,363,8,0,8,0,,missing,bull_fvg[361:363]=114.80000000-115.90000000;bull_ob=102.00000000-115.00000000;ote=105.10800000-107.62400000;sellside_sweep=102.00000000;ny_killzone=True,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
YFIUSDT,4h,400,2024-03-07T16:00:00+00:00,long,10289.0,8857.285714285714,13152.428571428572,15300.000000000002,17447.57142857143,100,20,20,12,12,15,10,4,2.0,"long reclaim above 9857.00000000; valid pullback; ICT(8): bull_fvg[390:392]=9419.00000000-9469.00000000;bull_ob=9072.00000000-9519.00000000;ote=9872.49000000-10173.22000000;sellside_sweep=8078.00000000;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",385,387,390,399,8,0,8,0,,missing,bull_fvg[390:392]=9419.00000000-9469.00000000;bull_ob=9072.00000000-9519.00000000;ote=9872.49000000-10173.22000000;sellside_sweep=8078.00000000;ny_killzone=True,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
CKBUSDT,4h,405,2024-03-08T12:00:00+00:00,long,0.021589,0.018143014285714288,0.028480971428571426,0.03364995,0.03881892857142856,100,20,20,11,15,13,10,4,2.0,"long reclaim above 0.02149200; valid pullback; ICT(8): bull_fvg[390:392]=0.01899800-0.02045100;bull_ob=0.01526700-0.01630000;ote=0.01690206-0.01810668;sellside_sweep=0.01541400;ny_killzone=True; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",381,392,395,404,8,0,8,0,,missing,bull_fvg[390:392]=0.01899800-0.02045100;bull_ob=0.01526700-0.01630000;ote=0.01690206-0.01810668;sellside_sweep=0.01541400;ny_killzone=True,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
JOEUSDT,4h,451,2024-03-16T04:00:00+00:00,long,0.8665,0.6861671428571428,1.2271657142857146,1.4976650000000005,1.7681642857142865,100,20,18,11,9,15,10,4,2.0,"long reclaim above 0.84010000; valid pullback; ICT(6): bull_fvg[429:431]=0.74200000-0.77050000;bull_ob=0.62170000-0.64240000;ote=0.72361200-0.76053600;sellside_sweep=0.69300000;ny_killzone=False; DIV(0): none/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",430,441,441,450,6,0,8,0,,missing,bull_fvg[429:431]=0.74200000-0.77050000;bull_ob=0.62170000-0.64240000;ote=0.72361200-0.76053600;sellside_sweep=0.69300000;ny_killzone=False,none,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
YGGUSDT,4h,506,2024-03-25T08:00:00+00:00,long,1.1358,0.9220878571428571,1.5632242857142855,1.8837924999999998,2.2043607142857136,100,20,20,15,12,15,10,4,2.0,"long reclaim above 1.06600000; valid pullback; ICT(6): bull_fvg[503:505]=0.95360000-0.97650000;bull_ob=0.83400000-0.88250000;ote=0.89584400-0.92583200;sellside_sweep=0.79080000;ny_killzone=False; DIV(5): hidden_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",493,495,496,505,6,5,8,0,,missing,bull_fvg[503:505]=0.95360000-0.97650000;bull_ob=0.83400000-0.88250000;ote=0.89584400-0.92583200;sellside_sweep=0.79080000;ny_killzone=False,hidden_bullish,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
AGLDUSDT,4h,523,2024-03-28T04:00:00+00:00,long,1.692,1.519692857142857,2.036614285714286,2.2950750000000006,2.553535714285715,100,20,20,11,9,15,8,4,2.0000000000000013,"long reclaim above 1.65200000; valid pullback; ICT(6): bull_fvg[520:522]=1.59700000-1.60000000;bull_ob=1.36400000-1.39600000;ote=1.46622000-1.49716000;sellside_sweep=1.40300000;ny_killzone=False; DIV(5): hidden_bullish/neutral; MTF(8): 15min:bull,1h:bull,4h:bull; COINLEGS(0): alpha=nan, bias=missing, no Coinlegs snapshot columns; COIL(0): score=missing; score=100",504,515,513,522,6,5,8,0,,missing,bull_fvg[520:522]=1.59700000-1.60000000;bull_ob=1.36400000-1.39600000;ote=1.46622000-1.49716000;sellside_sweep=1.40300000;ny_killzone=False,hidden_bullish,neutral,"15min:bull,1h:bull,4h:bull",no Coinlegs snapshot columns
