symbol,timeframe,index,timestamp,direction,score,reason
MAGICUSDT,4h,195,2024-02-02T12:00:00+00:00,long,100,max_open_per_symbol
MAGICUSDT,4h,196,2024-02-02T16:00:00+00:00,long,100,max_open_per_symbol
BANDUSDT,4h,207,2024-02-04T12:00:00+00:00,long,100,max_open_cluster:crypto_beta
PONDUSDT,4h,209,2024-02-04T20:00:00+00:00,long,100,max_open_cluster:crypto_beta
PONDUSDT,4h,210,2024-02-05T00:00:00+00:00,long,100,max_open_cluster:crypto_beta
AGLDUSDT,4h,215,2024-02-05T20:00:00+00:00,long,100,max_open_cluster:crypto_beta
AGLDUSDT,4h,216,2024-02-06T00:00:00+00:00,long,100,max_open_cluster:crypto_beta
JASMYUSDT,4h,217,2024-02-06T04:00:00+00:00,long,100,max_open_cluster:crypto_beta
BANDUSDT,4h,224,2024-02-07T08:00:00+00:00,long,100,max_open_cluster:crypto_beta
BANDUSDT,4h,228,2024-02-08T00:00:00+00:00,long,100,max_open_cluster:crypto_beta
CKBUSDT,4h,232,2024-02-08T16:00:00+00:00,long,100,max_open_cluster:crypto_beta
JOEUSDT,4h,255,2024-02-12T12:00:00+00:00,long,100,max_open_cluster:crypto_beta
LQTYUSDT,4h,255,2024-02-12T12:00:00+00:00,long,100,max_open_cluster:crypto_beta
CRVUSDT,4h,256,2024-02-12T16:00:00+00:00,long,100,max_open_cluster:crypto_beta
YFIUSDT,4h,256,2024-02-12T16:00:00+00:00,long,100,max_open_cluster:crypto_beta
YFIUSDT,4h,257,2024-02-12T20:00:00+00:00,long,100,max_open_cluster:crypto_beta
MINAUSDT,4h,265,2024-02-14T04:00:00+00:00,long,97,max_open_cluster:crypto_beta
VTHOUSDT,4h,265,2024-02-14T04:00:00+00:00,long,100,max_open_cluster:crypto_beta
MINAUSDT,4h,266,2024-02-14T08:00:00+00:00,long,100,max_open_cluster:crypto_beta
RADUSDT,4h,270,2024-02-15T00:00:00+00:00,long,100,max_open_cluster:crypto_beta
SANDUSDT,4h,270,2024-02-15T00:00:00+00:00,long,100,max_open_cluster:crypto_beta
KAVAUSDT,4h,271,2024-02-15T04:00:00+00:00,long,100,max_open_cluster:crypto_beta
BATUSDT,4h,272,2024-02-15T08:00:00+00:00,long,99,max_open_cluster:crypto_beta
KAVAUSDT,4h,272,2024-02-15T08:00:00+00:00,long,100,max_open_cluster:crypto_beta
BATUSDT,4h,278,2024-02-16T08:00:00+00:00,long,100,max_open_cluster:crypto_beta
PEOPLEUSDT,4h,278,2024-02-16T08:00:00+00:00,long,100,max_open_cluster:crypto_beta
RADUSDT,4h,278,2024-02-16T08:00:00+00:00,long,100,max_open_cluster:crypto_beta
SPELLUSDT,4h,278,2024-02-16T08:00:00+00:00,long,100,max_open_cluster:crypto_beta
FLUXUSDT,4h,289,2024-02-18T04:00:00+00:00,long,100,max_open_cluster:crypto_beta
ANKRUSDT,4h,290,2024-02-18T08:00:00+00:00,long,100,max_open_cluster:crypto_beta
CHZUSDT,4h,294,2024-02-19T00:00:00+00:00,long,100,max_open_cluster:crypto_beta
KNCUSDT,4h,294,2024-02-19T00:00:00+00:00,long,99,max_open_cluster:crypto_beta
TLMUSDT,4h,295,2024-02-19T04:00:00+00:00,long,100,max_open_cluster:crypto_beta
PEOPLEUSDT,4h,296,2024-02-19T08:00:00+00:00,long,100,max_open_cluster:crypto_beta
TLMUSDT,4h,296,2024-02-19T08:00:00+00:00,long,100,max_open_cluster:crypto_beta
YGGUSDT,4h,296,2024-02-19T08:00:00+00:00,long,100,max_open_cluster:crypto_beta
ARUSDT,4h,297,2024-02-19T12:00:00+00:00,long,100,max_open_cluster:crypto_beta
SANDUSDT,4h,297,2024-02-19T12:00:00+00:00,long,100,max_open_cluster:crypto_beta
CHZUSDT,4h,299,2024-02-19T20:00:00+00:00,long,100,max_open_cluster:crypto_beta
SANDUSDT,4h,299,2024-02-19T20:00:00+00:00,long,100,max_open_cluster:crypto_beta
STORJUSDT,4h,299,2024-02-19T20:00:00+00:00,long,100,max_open_per_symbol
OCEANUSDT,4h,313,2024-02-22T04:00:00+00:00,long,100,max_open_cluster:crypto_beta
CHZUSDT,4h,314,2024-02-22T08:00:00+00:00,long,100,max_open_cluster:crypto_beta
HBARUSDT,4h,316,2024-02-22T16:00:00+00:00,long,100,max_open_cluster:crypto_beta
SUNUSDT,4h,326,2024-02-24T08:00:00+00:00,long,100,max_open_cluster:crypto_beta
WOOUSDT,4h,327,2024-02-24T12:00:00+00:00,long,100,max_open_cluster:crypto_beta
SPELLUSDT,4h,330,2024-02-25T00:00:00+00:00,long,100,max_open_cluster:crypto_beta
CTSIUSDT,4h,331,2024-02-25T04:00:00+00:00,long,100,max_open_cluster:crypto_beta
CTSIUSDT,4h,332,2024-02-25T08:00:00+00:00,long,100,max_open_cluster:crypto_beta
SPELLUSDT,4h,333,2024-02-25T12:00:00+00:00,long,100,max_open_cluster:crypto_beta
