symbol,quote,research_bucket
AGLDUSDT,USDT,liquid_altcoin_default
ALICEUSDT,USDT,liquid_altcoin_default
ANKRUSDT,USDT,liquid_altcoin_default
ARUSDT,USDT,liquid_altcoin_default
AXSUSDT,USDT,liquid_altcoin_default
BANDUSDT,USDT,liquid_altcoin_default
BATUSDT,USDT,liquid_altcoin_default
BLURUSDT,USDT,liquid_altcoin_default
CHZUSDT,USDT,liquid_altcoin_default
CKBUSDT,USDT,liquid_altcoin_default
COMPUSDT,USDT,liquid_altcoin_default
CRVUSDT,USDT,liquid_altcoin_default
CTSIUSDT,USDT,liquid_altcoin_default
CVXUSDT,USDT,liquid_altcoin_default
DYDXUSDT,USDT,liquid_altcoin_default
EGLDUSDT,USDT,liquid_altcoin_default
ENSUSDT,USDT,liquid_altcoin_default
FLOKIUSDT,USDT,liquid_altcoin_default
FLUXUSDT,USDT,liquid_altcoin_default
GALAUSDT,USDT,liquid_altcoin_default
GLMRUSDT,USDT,liquid_altcoin_default
GMTUSDT,USDT,liquid_altcoin_default
GMXUSDT,USDT,liquid_altcoin_default
HBARUSDT,USDT,liquid_altcoin_default
HOTUSDT,USDT,liquid_altcoin_default
ICXUSDT,USDT,liquid_altcoin_default
ILVUSDT,USDT,liquid_altcoin_default
IOSTUSDT,USDT,liquid_altcoin_default
IOTXUSDT,USDT,liquid_altcoin_default
JASMYUSDT,USDT,liquid_altcoin_default
JOEUSDT,USDT,liquid_altcoin_default
KAVAUSDT,USDT,liquid_altcoin_default
KNCUSDT,USDT,liquid_altcoin_default
KSMUSDT,USDT,liquid_altcoin_default
LDOUSDT,USDT,liquid_altcoin_default
LPTUSDT,USDT,liquid_altcoin_default
LQTYUSDT,USDT,liquid_altcoin_default
MAGICUSDT,USDT,liquid_altcoin_default
MANAUSDT,USDT,liquid_altcoin_default
MASKUSDT,USDT,liquid_altcoin_default
MINAUSDT,USDT,liquid_altcoin_default
OCEANUSDT,USDT,liquid_altcoin_default
OGNUSDT,USDT,liquid_altcoin_default
ONEUSDT,USDT,liquid_altcoin_default
ONTUSDT,USDT,liquid_altcoin_default
PEOPLEUSDT,USDT,liquid_altcoin_default
PONDUSDT,USDT,liquid_altcoin_default
POWRUSDT,USDT,liquid_altcoin_default
PROMUSDT,USDT,liquid_altcoin_default
PYRUSDT,USDT,liquid_altcoin_default
QNTUSDT,USDT,liquid_altcoin_default
RADUSDT,USDT,liquid_altcoin_default
RAREUSDT,USDT,liquid_altcoin_default
ROSEUSDT,USDT,liquid_altcoin_default
RVNUSDT,USDT,liquid_altcoin_default
SANDUSDT,USDT,liquid_altcoin_default
SKLUSDT,USDT,liquid_altcoin_default
SNXUSDT,USDT,liquid_altcoin_default
SPELLUSDT,USDT,liquid_altcoin_default
SSVUSDT,USDT,liquid_altcoin_default
STORJUSDT,USDT,liquid_altcoin_default
SUNUSDT,USDT,liquid_altcoin_default
SUSHIUSDT,USDT,liquid_altcoin_default
THETAUSDT,USDT,liquid_altcoin_default
TLMUSDT,USDT,liquid_altcoin_default
TRBUSDT,USDT,liquid_altcoin_default
UMAUSDT,USDT,liquid_altcoin_default
VTHOUSDT,USDT,liquid_altcoin_default
WOOUSDT,USDT,liquid_altcoin_default
XTZUSDT,USDT,liquid_altcoin_default
YFIUSDT,USDT,liquid_altcoin_default
YGGUSDT,USDT,liquid_altcoin_default
ZECUSDT,USDT,liquid_altcoin_default
ZENUSDT,USDT,liquid_altcoin_default
ZILUSDT,USDT,liquid_altcoin_default
ZRXUSDT,USDT,liquid_altcoin_default
